Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Tammy Abraham,ENG,FW,Milan,27,9,2,301,3.3,2,1,3,2,0,0,0,0,1.2,1.2,0.7,1.9,9,6,19,0.60,0.30,0.90,0.60,0.90,0.36,0.20,0.56,0.36,0.56
2,Francesco Acerbi,ITA,DF,Inter,37,8,7,680,7.6,1,1,2,1,0,0,1,0,0.5,0.5,0.6,1.2,2,9,3,0.13,0.13,0.26,0.13,0.26,0.07,0.09,0.16,0.07,0.16
3,Arijan Ademi,MKD,MF,Dinamo Zagreb,33,6,4,287,3.2,0,0,0,0,0,0,2,0,0.6,0.6,0.3,0.9,3,9,6,0.00,0.00,0.00,0.00,0.00,0.20,0.08,0.28,0.20,0.28
4,Karim Adeyemi,GER,"FW,MF",Dortmund,23,10,9,685,7.6,5,1,6,5,0,0,2,0,2.0,2.0,1.6,3.6,34,13,63,0.66,0.13,0.79,0.66,0.79,0.27,0.21,0.48,0.27,0.48
5,Amine Adli,MAR,"MF,FW",Leverkusen,25,5,2,210,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,9,16,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.15,0.08,0.15
6,Vasilije Adžić,MNE,FW,Juventus,19,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Michel Aebischer,SUI,MF,Bologna,28,1,0,29,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Emanuel Aiwum,AUT,DF,Sturm Graz,24,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Ludovic Ajorque,FRA,FW,Brest,31,8,8,640,7.1,0,2,2,0,0,0,3,0,0.7,0.7,2.2,2.9,3,10,35,0.00,0.28,0.28,0.00,0.28,0.10,0.30,0.40,0.10,0.40
10,Manuel Akanji,SUI,DF,Manchester City,29,8,8,644,7.2,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,16,69,2,0.00,0.14,0.14,0.00,0.14,0.04,0.08,0.12,0.04,0.12
11,Nathan Aké,NED,DF,Manchester City,30,4,3,284,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.4,2,16,2,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11
12,Maghnes Akliouche,FRA,"FW,MF",Monaco,23,10,10,805,8.9,2,2,4,2,0,0,1,0,1.5,1.5,2.1,3.6,37,47,51,0.22,0.22,0.45,0.22,0.45,0.16,0.23,0.40,0.16,0.40
13,Chuba Akpom,ENG,FW,Lille,29,1,0,24,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,3,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.75,0.75,0.75
14,Kerem Aktürkoğlu,TUR,FW,Benfica,26,12,11,847,9.4,4,0,4,4,0,0,1,0,3.9,3.9,1.5,5.5,18,14,46,0.43,0.00,0.43,0.43,0.43,0.42,0.16,0.58,0.42,0.58
15,David Alaba,AUT,DF,Real Madrid,32,5,2,175,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Trent Alexander-Arnold,ENG,DF,Liverpool,26,8,7,573,6.4,0,1,1,0,0,0,0,0,0.5,0.5,0.5,1.0,5,46,16,0.00,0.16,0.16,0.00,0.16,0.07,0.09,0.16,0.07,0.16
17,Alisson,BRA,GK,Liverpool,32,6,6,570,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,Julián Álvarez,ARG,"FW,MF",Atlético Madrid,25,10,10,784,8.7,7,1,8,7,0,0,0,0,2.4,2.4,1.6,4.0,23,25,54,0.80,0.11,0.92,0.80,0.92,0.28,0.20,0.48,0.28,0.48
19,Mohamed Aly Camara,GUI,DF,Young Boys,27,6,6,495,5.5,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,2,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
20,Jordan Amavi,FRA,DF,Brest,31,1,1,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,Zeki Amdouni,SUI,"FW,MF",Benfica,24,11,1,249,2.8,1,0,1,1,0,0,2,0,1.6,1.6,0.6,2.1,8,5,14,0.36,0.00,0.36,0.36,0.36,0.57,0.20,0.77,0.57,0.77
22,Benjamin André,FRA,MF,Lille,34,9,9,810,9.0,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,4,41,12,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
23,Robert Andrich,GER,"MF,DF",Leverkusen,30,7,2,276,3.1,0,1,1,0,0,0,2,0,0.1,0.1,0.6,0.7,2,8,3,0.00,0.33,0.33,0.00,0.33,0.02,0.19,0.22,0.02,0.22
