Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Mohamed Abdelmoneim,EGY,DF,Nice,25,4,4,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,20,1,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
2,Ali Abdi,TUN,"DF,MF",Nice,30,4,1,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,6,16,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16
3,Taha Abdi Ali,SWE,FW,Malmö,26,7,3,288,3.2,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,17,10,34,0.31,0.00,0.31,0.31,0.31,0.23,0.03,0.26,0.23,0.26
4,Jalal Abdulai,GHA,FW,Elfsborg,19,5,2,241,2.7,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.7,6,4,8,0.00,0.00,0.00,0.00,0.00,0.25,0.03,0.28,0.25,0.28
5,Saud Abdulhamid,KSA,DF,Roma,25,4,2,175,1.9,1,0,1,1,0,0,0,0,0.4,0.4,0.6,1.0,8,7,14,0.51,0.00,0.51,0.51,0.51,0.20,0.31,0.51,0.20,0.51
6,Abner,BRA,"DF,MF",Lyon,24,6,4,355,3.9,1,0,1,1,0,0,1,0,0.1,0.1,0.2,0.3,4,19,14,0.25,0.00,0.25,0.25,0.25,0.03,0.05,0.08,0.03,0.08
7,Mohammad Abu Fani,ISR,MF,Ferencváros,26,10,10,823,9.1,1,2,3,1,0,0,2,0,0.5,0.5,1.8,2.3,18,60,20,0.11,0.22,0.33,0.11,0.33,0.06,0.19,0.25,0.06,0.25
8,Emmanuel Addai,GHA,"FW,MF",Qarabağ,22,8,1,162,1.8,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,5,9,18,0.00,0.00,0.00,0.00,0.00,0.15,0.12,0.27,0.15,0.27
9,Jayden Addai,NED,FW,AZ Alkmaar,18,3,2,187,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,11,6,21,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
10,Henry Addo,SVK,FW,Maccabi Tel Aviv,21,7,0,112,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,4,1,18,0.00,0.00,0.00,0.00,0.00,0.20,0.02,0.22,0.20,0.22
11,Adryelson,BRA,DF,Anderlecht,26,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,6,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
12,Prince Adu Kwabena,GHA,FW,Viktoria Plzeň,20,11,7,637,7.1,3,1,4,3,0,0,2,0,2.5,2.5,0.6,3.1,16,10,50,0.42,0.14,0.57,0.42,0.57,0.36,0.08,0.44,0.36,0.44
13,Julen Agirrezabala,ESP,GK,Athletic Club,23,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Nayef Aguerd,MAR,DF,Real Sociedad,28,11,9,880,9.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,0,33,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
15,Oyindamola Ajayi,ENG,FW,Tottenham,18,1,0,10,0.1,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,2,1,9.00,0.00,9.00,9.00,9.00,1.04,0.18,1.22,1.04,1.22
16,Samet Akaydın,TUR,DF,Fenerbahçe,30,2,2,135,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
17,Yusuf Akçiçek,TUR,DF,Fenerbahçe,18,7,6,526,5.8,1,1,2,1,0,0,1,0,0.6,0.6,0.4,1.0,2,28,2,0.17,0.17,0.34,0.17,0.34,0.10,0.07,0.18,0.10,0.18
18,Yunus Akgün,TUR,"DF,FW",Galatasaray,24,8,8,667,7.4,5,0,5,5,0,0,2,0,2.4,2.4,1.2,3.6,20,33,58,0.67,0.00,0.67,0.67,0.67,0.32,0.16,0.48,0.32,0.48
19,Efe Akman,TUR,"MF,DF",Galatasaray,18,3,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,Paul Akouokou,CIV,MF,Lyon,26,3,2,105,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16
21,Kevin Akpoguma,NGA,DF,Hoffenheim,29,7,6,550,6.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,23,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Chuba Akpom,ENG,FW,Ajax,28,8,1,308,3.4,1,0,1,1,0,0,0,0,1.0,1.0,0.3,1.3,11,8,22,0.29,0.00,0.29,0.29,0.29,0.28,0.09,0.37,0.28,0.37
23,Baba Alhassan,GHA,"MF,FW",FCSB,24,9,3,369,4.1,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,2,10,2,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.11,0.08,0.11
24,Mohamed Ali Cho,FRA,"FW,MF",Nice,20,6,1,195,2.2,1,0,1,1,0,0,0,0,0.4,0.4,0.4,0.8,7,1,20,0.46,0.00,0.46,0.46,0.46,0.19,0.18,0.36,0.19,0.36
25,Thiago Almada,ARG,MF,Lyon,23,4,2,262,2.9,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,10,16,10,0.34,0.00,0.34,0.34,0.34,0.21,0.04,0.25,0.21,0.25
26,Dinis Almeida,POR,DF,Ludogorets,29,8,8,706,7.8,1,0,1,1,0,0,0,0,1.5,1.5,0.2,1.7,3,8,0,0.13,0.00,0.13,0.13,0.13,0.19,0.02,0.22,0.19,0.22
27,Barış Alper Yılmaz,TUR,"FW,DF",Galatasaray,24,9,9,778,8.6,1,1,2,1,0,0,1,0,2.3,2.3,2.4,4.7,44,21,122,0.12,0.12,0.23,0.12,0.23,0.26,0.28,0.55,0.26,0.55
28,Laurenzo Alvarenga,FRA,MF,Nice,20,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Yeray Álvarez,ESP,DF,Athletic Club,29,7,7,579,6.4,1,0,1,1,0,0,4,1,0.6,0.6,0.0,0.7,8,26,0,0.16,0.00,0.16,0.16,0.16,0.09,0.01,0.10,0.09,0.10
30,Harry Amass,ENG,DF,Manchester Utd,17,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
