Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Max Aarons,ENG,DF,Bournemouth,Premier League,25.0,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Max Aarons,ENG,"DF,MF",Valencia,La Liga,25.0,2000,4,1,120,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,6,10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
3,Rodrigo Abajas,ESP,DF,Valencia,La Liga,22.0,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
4,James Abankwah,IRL,"DF,MF",Udinese,Serie A,21.0,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
5,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,19.0,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,37.0,1987,16,11,1033,11.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
7,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,25.0,1999,32,32,2842,31.6,6,1,7,3,3,4,4,0,6.4,3.2,3.2,6.4,107,207,111,0.19,0.03,0.22,0.10,0.13,0.20,0.10,0.30,0.10,0.20,Matches
8,Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,26.0,1999,12,10,855,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,52,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,31.0,1993,25,17,1393,15.5,5,2,7,5,0,0,2,0,4.3,4.3,1.9,6.2,35,42,101,0.32,0.13,0.45,0.32,0.45,0.28,0.12,0.40,0.28,0.40,Matches
10,Saud Abdulhamid,KSA,DF,Roma,Serie A,25.0,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.00,0.44,0.44,0.00,0.44,0.01,0.08,0.09,0.01,0.09,Matches
11,Abel,ESP,DF,Osasuna,La Liga,24.0,2000,34,20,2042,22.7,2,0,2,2,0,0,3,0,0.5,0.5,1.0,1.5,49,71,89,0.09,0.00,0.09,0.09,0.09,0.02,0.04,0.06,0.02,0.06,Matches
12,Nabil Aberdin,FRA,MF,Getafe,La Liga,22.0,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
13,Oliver Abildgaard,DEN,MF,Como,Serie A,28.0,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
14,Matthis Abline,FRA,FW,Nantes,Ligue 1,22.0,2003,34,33,2768,30.8,9,2,11,8,1,1,3,0,8.5,7.7,3.8,11.5,75,48,169,0.29,0.07,0.36,0.26,0.33,0.28,0.12,0.40,0.25,0.37,Matches
15,Abner,BRA,DF,Lyon,Ligue 1,24.0,2000,19,12,1090,12.1,1,1,2,1,0,0,1,0,0.6,0.6,1.1,1.7,31,66,55,0.08,0.08,0.17,0.08,0.17,0.05,0.09,0.14,0.05,0.14,Matches
16,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,25.0,2000,26,22,1901,21.1,7,2,9,6,1,2,4,0,10.2,8.6,1.6,10.2,34,22,164,0.33,0.09,0.43,0.28,0.38,0.48,0.07,0.56,0.41,0.48,Matches
