Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1,David Abagna,GHA,"MF,FW",APOEL,26,8,7,560,6.2,3,0,3,3,0,0,2,0,2.3,2.3,0.1,2.4,16,27,11,0.48,0.00,0.48,0.48,0.48,0.37,0.02,0.39,0.37,0.39
2,Sławomir Abramowicz,POL,GK,Jagiellonia,20,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Francis Abu,GHA,MF,Cercle Brugge,24,7,7,554,6.2,0,1,1,0,0,0,3,1,0.1,0.1,0.2,0.3,1,32,6,0.00,0.16,0.16,0.00,0.16,0.02,0.03,0.05,0.02,0.05
4,Joshua Acheampong,ENG,DF,Chelsea,19,7,7,585,6.5,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,14,37,10,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
5,Elias Achouri,TUN,"FW,MF",FC Copenhagen,26,6,4,336,3.7,0,0,0,0,0,0,2,0,1.0,1.0,0.3,1.3,9,15,35,0.00,0.00,0.00,0.00,0.00,0.27,0.07,0.34,0.27,0.34
6,Tosin Adarabioyo,ENG,DF,Chelsea,27,10,10,855,9.5,1,0,1,1,0,0,3,0,0.5,0.5,0.4,0.9,2,39,0,0.11,0.00,0.11,0.11,0.11,0.05,0.04,0.09,0.05,0.09
7,Raymond Adeola,NGA,"FW,MF",Dinamo Minsk,24,4,2,177,2.0,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,1,3,9,0.51,0.00,0.51,0.51,0.51,0.41,0.00,0.41,0.41,0.41
8,Jakub Adkonis,POL,MF,Legia Warsaw,17,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30
9,Yacine Adli,FRA,MF,Fiorentina,24,9,5,416,4.6,1,1,2,1,0,0,1,0,0.1,0.1,1.1,1.3,8,34,6,0.22,0.22,0.43,0.22,0.43,0.03,0.25,0.28,0.03,0.28
10,Adrián,ESP,GK,Betis,38,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Peter Agba,NGA,MF,Olimpija,22,6,3,282,3.1,1,0,1,1,0,0,2,0,0.3,0.3,0.0,0.3,6,11,6,0.32,0.00,0.32,0.32,0.32,0.08,0.01,0.09,0.08,0.09
12,Erlingur Agnarsson,ISL,"MF,FW",KV,27,6,6,467,5.2,0,2,2,0,0,0,0,0,0.2,0.2,0.8,1.0,7,10,34,0.00,0.39,0.39,0.00,0.39,0.03,0.16,0.19,0.03,0.19
13,Lawrence Agyekum,GHA,MF,Cercle Brugge,21,5,1,192,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,4,4,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07
14,Nnamdi Ahanonu,NGA,"MF,FW",Astana FK,23,3,2,181,2.0,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,2,1,9,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30
15,Matheus Aiás,BRA,FW,FC Noah,28,6,4,337,3.7,4,0,4,4,0,0,2,0,2.4,2.4,0.5,2.9,6,9,22,1.07,0.00,1.07,1.07,1.07,0.63,0.14,0.77,0.63,0.77
16,Chadrac Akolo,COD,FW,St. Gallen,30,6,3,301,3.3,0,0,0,0,0,0,1,0,0.9,0.9,0.3,1.2,0,7,19,0.00,0.00,0.00,0.00,0.00,0.27,0.10,0.37,0.27,0.37
17,Iván Alejo,ESP,"MF,FW",APOEL,30,2,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
